Title,Genre,Runtime,imdbRating,Year
Chyornye berety,Action,73,3.6,1995
Ninja Extreme Weapons,Action,78,4.7,1988
Colpo di stato,Action,81,4.2,1987
Black List,Action,83,5.7,1984
Prey for the Hunter,Action,84,2.8,1990
In the Name of Blood,Action,85,5.1,1989
Death Chase,Action,86,4.7,1988
Mankillers,Action,88,4.4,1987
Armed for Action,Action,90,3.9,1992
Breathe Safely,Action,90,2.6,1998
Deaden,Action,90,4.1,2006
Huang jia shi jie zhi III: Ci xiong da dao,Action,90,6.4,1988
The Silent Force,Action,90,4.1,2001
No Escape No Return,Action,91,3.8,1993
Operation Delta Force 3: Clear Target,Action,94,6.5,1998
Ultima frontiera a mortii,Action,94,5.4,1979
Ex-Con,Action,97,6.7,2000
The Farmer,Action,97,7.2,1977
"Birisigí_n, gecayarisi...",Action,99,4,1982
Seventeen Ninja,Action,99,6.5,1963
Extraction Day,Action,106,2.9,2014
Complot,Action,116,5.1,1999
Moses: Fallen. In the City of Angels.,Action,125,5.3,2005
Gambler,Action,169,4.8,1995
Red Barry,Action,256,6.3,1938
Uninhibited,"Action, Adult",91,5.4,1995
Indiana Jones und der Speer des Schicksals,"Action, Adventure",66,5.1,2010
Muhomatsu no issho,"Action, Adventure",80,7.5,1943
Shogun Assassin,"Action, Adventure",85,7.4,1980
DOA: Dead or Alive,"Action, Adventure",87,4.8,2006
The Revenge of Tarzan,"Action, Adventure",90,4.1,1920
The Doorman,"Action, Adventure",92,6.4,1999
Damned River,"Action, Adventure",95,4.6,1989
Guilty as Charged,"Action, Adventure",97,4.3,2000
La muerte de un gallero,"Action, Adventure",115,6.7,1977
Wolves of Kultur,"Action, Adventure",182,5.7,1918
King of the Mounties,"Action, Adventure",196,6.7,1942
King of the Royal Mounted,"Action, Adventure",211,7.1,1940
Captain Midnight,"Action, Adventure",270,6.8,1942
Beatrice Fairfax,"Action, Adventure",300,7.4,1916
Ned Kelly,"Action, Adventure, Biography",110,6.5,2003
Sergeant Murphy,"Action, Adventure, Comedy",57,4.4,1938
His First Command,"Action, Adventure, Comedy",65,5.2,1929
Adventure Island,"Action, Adventure, Comedy",66,4.9,1947
Keep 'Em Slugging,"Action, Adventure, Comedy",66,6.2,1943
Spy Kids,"Action, Adventure, Comedy",88,5.4,2001
Da feng bo,"Action, Adventure, Comedy",90,5.1,1974
Barely Lethal,"Action, Adventure, Comedy",96,5.3,2015
Cataclysmo and the Time Boys,"Action, Adventure, Comedy",99,5.7,2007
Big Trouble in Little China,"Action, Adventure, Comedy",99,7.3,1986
Mondialito,"Action, Adventure, Comedy",100,6.4,2000
The Sorcerer's Apprentice,"Action, Adventure, Comedy",109,6.1,2010
The Assassination Bureau,"Action, Adventure, Comedy",110,6.7,1969
Prisoners in Petticoats,"Action, Adventure, Crime",60,5.2,1950
Reformatory,"Action, Adventure, Crime",61,7.7,1938
Defenders of the Law,"Action, Adventure, Crime",64,4.5,1931
The Whip Hand,"Action, Adventure, Crime",82,5.7,1951
Gunsight Ridge,"Action, Adventure, Crime",85,6.2,1957
Operacion 67,"Action, Adventure, Crime",85,5.6,1967
The Sniper,"Action, Adventure, Crime",90,5.6,2009
Desert Fox,"Action, Adventure, Crime",91,5.7,2009
Beretta's Island,"Action, Adventure, Crime",97,2.8,1994
Number 10 Blues Goodbye Saigon,"Action, Adventure, Crime",97,4.9,2013
A Lonely Place to Die,"Action, Adventure, Crime",99,6.3,2011
Transporter 3,"Action, Adventure, Crime",104,6.1,2008
Raavan,"Action, Adventure, Crime",130,5.3,2010
Daughter of Don Q,"Action, Adventure, Crime",167,6.5,1946
To Survive,"Action, Adventure, Drama",75,4.4,2014
Atlas,"Action, Adventure, Drama",79,4.3,1961
